nivå,regionnummer,regionnavn,fylkesnummer,fylkesnavn,gyldig_fra,gyldig_til,er_gjeldende
kommune,0532,Jevnaker,05,Oppland,1838-01-01,2020-01-01,false
kommune,0533,Lunner,05,Oppland,1898-01-01,2020-01-01,false
kommune,0534,Gran,05,Oppland,1838-01-01,2020-01-01,false
kommune,0535,Brandbu,05,Oppland,1897-01-01,1962-01-01,false
kommune,0536,Land,05,Kristians amt,1838-01-01,1847-01-01,false
kommune,0536,Søndre Land,05,Oppland,1847-01-01,2020-01-01,false
kommune,0537,Fluberg,05,Oppland,1914-01-01,1962-01-01,false
kommune,0538,Nordre Land,05,Oppland,1847-01-01,2020-01-01,false
kommune,0539,Torpa,05,Oppland,1914-01-01,1962-01-01,false
kommune,0540,Sør-Aurdal,05,Oppland,1838-01-01,2020-01-01,false
kommune,0541,Etnedal,05,Oppland,1894-01-01,2020-01-01,false
kommune,0542,Nord-Aurdal,05,Oppland,1838-01-01,2020-01-01,false
kommune,0543,Slidre,05,Kristians amt,1838-01-01,1850-01-01,false
kommune,0543,Vestre Slidre,05,Oppland,1850-01-01,2020-01-01,false
kommune,0544,Øystre Slidre,05,Oppland,1850-01-01,2020-01-01,false
kommune,0545,Vang (Oppland),05,Oppland,1838-01-01,2002-01-01,false
kommune,0545,Vang,05,Oppland,2002-01-01,2003-01-01,false
kommune,0545,Vang (Oppland),05,Oppland,2003-01-01,2005-01-01,false
kommune,0545,Vang,05,Oppland,2005-01-01,2011-01-01,false
kommune,0545,Vang (Oppland),05,Oppland,2011-01-01,2012-01-01,false
kommune,0545,Vang,05,Oppland,2012-01-01,2015-01-01,false
kommune,0545,Vang (Oppland),05,Oppland,2015-01-01,2017-01-01,false
kommune,0545,Vang,05,Oppland,2017-01-01,2020-01-01,false
kommune,0580,Sollia,05,Kristians amt,1864-01-01,1890-01-01,false
kommune,0601,Hønefoss,06,Buskerud,1853-01-01,1964-01-01,false
kommune,0601,Ringerike,06,Buskerud,1964-01-01,1977-01-01,false
kommune,0602,Drammen,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0604,Kongsberg,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0605,Ringerike,06,Buskerud,1977-01-01,2020-01-01,false
kommune,0611,Tyristrand,06,Buskerud,1917-01-01,1964-01-01,false
kommune,0612,Hole,06,Buskerud,1838-01-01,1964-01-01,false
kommune,0612,Hole,06,Buskerud,1977-01-01,2020-01-01,false
kommune,0613,Norderhov,06,Buskerud,1838-01-01,1964-01-01,false
kommune,0614,Ådal,06,Buskerud,1857-01-01,1964-01-01,false
kommune,0615,Flå (Buskerud),06,Buskerud,1905-01-01,2002-01-01,false
kommune,0615,Flå,06,Buskerud,2002-01-01,2003-01-01,false
kommune,0615,Flå (Buskerud),06,Buskerud,2003-01-01,2005-01-01,false
kommune,0615,Flå,06,Buskerud,2005-01-01,2011-01-01,false
kommune,0615,Flå (Buskerud),06,Buskerud,2011-01-01,2012-01-01,false
kommune,0615,Flå,06,Buskerud,2012-01-01,2015-01-01,false
kommune,0615,Flå (Buskerud),06,Buskerud,2015-01-01,2017-01-01,false
kommune,0615,Flå,06,Buskerud,2017-01-01,2020-01-01,false
kommune,0616,Nes (Buskerud),06,Buskerud,1838-01-01,2020-01-01,false
kommune,0617,Gol,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0618,Hemsedal,06,Buskerud,1897-01-01,2020-01-01,false
kommune,0619,Ål,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0620,Hol (Buskerud),06,Buskerud,1877-01-01,2002-01-01,false
kommune,0620,Hol,06,Buskerud,2002-01-01,2003-01-01,false
kommune,0620,Hol (Buskerud),06,Buskerud,2003-01-01,2005-01-01,false
kommune,0620,Hol,06,Buskerud,2005-01-01,2011-01-01,false
kommune,0620,Hol (Buskerud),06,Buskerud,2011-01-01,2012-01-01,false
kommune,0620,Hol,06,Buskerud,2012-01-01,2015-01-01,false
kommune,0620,Hol (Buskerud),06,Buskerud,2015-01-01,2017-01-01,false
kommune,0620,Hol,06,Buskerud,2017-01-01,2020-01-01,false
kommune,0621,Sigdal,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0622,Krødsherad,06,Buskerud,1901-01-01,2020-01-01,false
kommune,0623,Modum,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0624,Eiker,06,Buskerud amt,1838-01-01,1886-01-01,false
kommune,0624,Øvre Eiker,06,Buskerud,1886-01-01,2020-01-01,false
kommune,0625,Nedre Eiker,06,Buskerud,1886-01-01,2020-01-01,false
kommune,0626,Lier,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0627,Røyken,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0628,Hurum,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0629,Sandsvær,06,Buskerud amt,1838-01-01,1908-01-01,false
kommune,0629,Ytre Sandsvær,06,Buskerud,1908-01-01,1964-01-01,false
kommune,0630,Øvre Sandsvær,06,Buskerud,1908-01-01,1964-01-01,false
kommune,0631,Flesberg,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0632,Rollag,06,Buskerud,1838-01-01,2020-01-01,false
kommune,0633,Nore,06,Buskerud,1858-01-01,1962-01-01,false
kommune,0633,Nore og Uvdal,06,Buskerud,1962-01-01,2020-01-01,false
kommune,0634,Opdal,06,Buskerud,1901-01-01,1933-01-01,false
kommune,0634,Uvdal,06,Buskerud,1933-01-01,1962-01-01,false
kommune,0681,Strømsgodset,06,Buskerud amt,1838-01-01,1843-01-01,false
kommune,0701,Svelvik,07,Vestfold,1846-01-01,1964-01-01,false
kommune,0701,Borre,07,Vestfold,1988-01-01,2002-01-01,false
kommune,0701, Borre ,07,Vestfold,2002-01-01,2003-01-01,false
kommune,0701,Horten,07,Vestfold,2003-01-01,2020-01-01,false
kommune,0702,Holmestrand,07,Vestfold,1838-01-01,2018-01-01,false
kommune,0703,Horten,07,Vestfold,1858-01-01,1988-01-01,false
kommune,0704,Åsgårdstrand,07,Vestfold,1838-01-01,1965-01-01,false
kommune,0704,Tønsberg,07,Vestfold,1988-01-01,2020-01-01,false
kommune,0705,Tønsberg,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0706,Sandefjord,07,Vestfold,1838-01-01,2017-01-01,false
kommune,0707,Larvik,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0708,Stavern,07,Vestfold,1943-01-01,1988-01-01,false
kommune,0709,Larvik,07,Vestfold,1988-01-01,2018-01-01,false
kommune,0710,Sandefjord,07,Vestfold,2017-01-01,2020-01-01,false
kommune,0711,Svelvik,07,Jarlsberg og Larviks amt,1838-01-01,1846-01-01,false
kommune,0711,Strømmen,07,Vestfold,1846-01-01,1964-01-01,false
kommune,0711,Svelvik,07,Vestfold,1964-01-01,2020-01-01,false
kommune,0712,Skoger,07,Vestfold,1838-01-01,1964-01-01,false
kommune,0712,Larvik,07,Vestfold,2018-01-01,2020-01-01,false
kommune,0713,Sande (Vestfold),07,Vestfold,1838-01-01,2020-01-01,false
kommune,0714,Hof (Vestfold),07,Vestfold,1838-01-01,2002-01-01,false
kommune,0714,Hof,07,Vestfold,2002-01-01,2003-01-01,false
kommune,0714,Hof (Vestfold),07,Vestfold,2003-01-01,2005-01-01,false
kommune,0714,Hof,07,Vestfold,2005-01-01,2011-01-01,false
kommune,0714,Hof (Vestfold),07,Vestfold,2011-01-01,2012-01-01,false
kommune,0714,Hof,07,Vestfold,2012-01-01,2015-01-01,false
kommune,0714,Hof (Vestfold),07,Vestfold,2015-01-01,2017-01-01,false
kommune,0714,Hof,07,Vestfold,2017-01-01,2018-01-01,false
kommune,0715,Botne,07,Vestfold,1838-01-01,1964-01-01,false
kommune,0715,Holmestrand,07,Vestfold,2018-01-01,2020-01-01,false
kommune,0716,Våle,07,Vestfold,1838-01-01,2002-01-01,false
kommune,0716,Re,07,Vestfold,2002-01-01,2020-01-01,false
kommune,0717,Borre,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0718,Ramnes,07,Vestfold,1838-01-01,2002-01-01,false
kommune,0719,Andebu,07,Vestfold,1838-01-01,2017-01-01,false
kommune,0720,Stokke,07,Vestfold,1838-01-01,2017-01-01,false
kommune,0721,Sem,07,Vestfold,1838-01-01,1988-01-01,false
kommune,0722,Nøtterøy,07,Vestfold,1838-01-01,2018-01-01,false
kommune,0723,Tjøme,07,Vestfold,1838-01-01,2018-01-01,false
kommune,0724,Sandeherad,07,Vestfold,1838-01-01,1932-01-01,false
