from_year,to_year,level,from_id,to_id,change_type,source_file
2024,2025,county,54,55,split,data/raw/region-transitions/fylker_2024_2025.json
2024,2025,county,54,56,split,data/raw/region-transitions/fylker_2024_2025.json
2017,2021,municipality,0101,3001,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0104,3002,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0105,3003,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0106,3004,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0111,3011,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0118,3012,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0119,3013,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0127,3015,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0128,3016,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0135,3017,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0137,3419,merge,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0211,3019,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0214,3021,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0215,3022,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0216,3023,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0219,3024,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0220,3025,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0228,3027,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0229,3028,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0230,3029,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0233,3031,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0234,3032,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0235,3033,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0236,3034,merge,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0237,3035,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0238,3036,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0239,3037,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0402,3401,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0403,3403,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0412,3411,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0415,3412,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0417,3413,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0418,3414,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0419,3415,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0420,3416,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0423,3417,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0425,3418,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0426,3419,merge,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0427,3420,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0428,3421,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0429,3422,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0430,3423,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0432,3424,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0434,3425,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0436,3426,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0437,3427,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
2017,2021,municipality,0438,3428,renumbered,data/raw/region-transitions/kommuner_2017_2021.json
